date,PRT,ESP,NOR,GRC,SWE,NLD,DNK,DEU,CAN,FIN,LUX,GBR,USA,CHE,AUT,IRL,FRA,ITA,BEL,POL,HUN,KOR,ISR
1991-01-01,12.876248720808592,6.530627523090482,4.013916759034419,20.034624248560682,9.886071106146765,2.8457858899314736,2.4846184168927365,2.7908904570538517,6.681743283858843,4.9898255225548915,2.993896352853298,8.414467650755375,5.497572935981276,5.362963046430025,3.289988964194457,2.523272383210351,3.287723923110608,6.087589483035538,3.802210441504883,77.94753797156031,29.316613231785805,8.760592987247895,16.862270016274515
1991-02-01,12.360121535344737,5.758219193732428,4.000533461369926,20.149870161469075,12.292881702693759,2.553151998298997,2.5346225198949135,2.8088368542176667,6.0319827821247785,5.016897483701133,3.191589709498377,7.815055952149841,5.176188565625317,6.028279824894955,3.265882879583959,2.523272383210351,3.3390603856381595,6.081314869935595,3.9058981187390707,63.83389694309276,28.63378938264396,9.464298797841453,16.393487352388682
1991-03-01,12.33089794718527,5.717402649014369,3.468555798789019,18.83441500173064,9.940550852889007,2.8519453086925495,2.359655496530255,2.8088368542176667,6.009320803415807,4.824020168856702,3.488218205712812,7.960801955541141,4.779071540181956,5.700114988435079,3.4600951461150053,2.523272383210351,3.2876846188819364,6.26922417257183,3.2443917375110765,64.05031859623101,29.502360183066443,9.652331967081151,16.952245631374872
1991-04-01,11.875187074693594,5.706967903781557,3.792705191206114,20.513570169153404,10.126855068593965,2.5615771582857327,2.524683975738906,3.034753777984811,6.009320803415807,4.6826602712878085,2.8341666273695054,7.607557297215406,4.77183069770728,5.734339654796816,3.2539367358555893,3.0102689553222817,3.038765924029274,6.265419764246705,2.847361647987423,59.30635972810616,30.608718112318158,8.99352738533472,16.855540150009986
1991-05-01,11.54611687744147,5.998211527849051,3.7864605619246205,17.56204926823863,9.659558428353066,2.660419453656626,2.4513787224119454,3.1152404251181487,5.979368471238633,4.78194134783303,3.141832214786433,7.358835665748931,4.834781283871692,6.089735283952091,3.2844178014679315,3.0102689553222817,3.207421460954496,6.338167380296733,3.1726970627679485,57.25193916286171,31.423143262095454,8.163207259416616,16.616618539653196
1991-06-01,11.913827336215466,5.978200378412701,3.6128724088505315,17.31090302027196,9.590492831348918,2.952579714946779,2.8971514638291396,3.5860578450624736,6.077509287366389,4.382124792729591,3.277679543715628,7.501335926853425,4.589005261925205,6.360243175144298,3.7004431393215853,3.0102689553222817,3.467033418530452,6.3521579354712365,3.5630653660118305,58.90066107226879,32.62526154049574,8.310416683013022,17.78588664829739
1991-07-01,11.66109730227558,5.877055521474572,3.4457879923688317,17.205685063289078,8.666714801725739,3.536626853053626,2.9068531861546454,4.725676625588271,5.814875307590395,4.20929632834941,3.712530958414284,7.164635272062991,4.351771246130376,6.345691179704538,3.558391026185337,3.474301437275251,3.6957393703815455,6.424046308498932,3.7509304930307685,55.65712950771893,32.353209295904065,8.651663661319997,19.41558023224235
1991-08-01,11.136175632945422,5.810241780952374,3.6128724088505315,16.530081648322394,7.841221827192779,3.344030271603593,2.0561941894440494,4.4146242503591,5.807687950720197,3.7021308066366387,3.570925075227116,7.2696358188165,3.7289866277009587,5.801229617146575,3.6355879970919602,3.474301437275251,3.1577741951930527,6.023772098156588,3.4750674302618023,54.15977536830394,29.4143163186424,9.067987906526032,19.393904138086484
1991-09-01,10.272187235843555,5.577001397916748,3.2576170434612806,16.763044519909887,7.7910839283118705,3.3465094854910227,1.7660447449928007,4.104552230397207,5.313171891389423,3.3341322949334895,3.1935327145125036,6.7093084641515865,3.3348633095559244,5.520752692400599,3.0972354804807978,3.474301437275251,2.608087555279237,5.963939429591614,2.5056144907494193,54.232441316884184,29.295644933151088,9.019157287921908,19.07399456401859
1991-10-01,9.74726387269067,5.319853578879785,2.433210065953073,16.264285827750278,7.5121583839593775,3.3473481439586728,1.8177289385088002,4.930819019892585,4.308356791424117,3.285658740656139,2.3640367266398954,6.32148942070625,2.87948763634569,5.001911876769327,2.644201769316634,3.6188165891861246,2.6822083769437732,5.606403811467464,2.190763037640764,51.834438534474714,29.206046976755307,8.905363832925683,17.520407245974123
1991-11-01,9.586467714379543,5.571778476369182,2.433210065953073,16.51007151292503,7.6310584582718555,3.633194229575132,2.3090594374309603,5.553481076644218,4.042204611761591,3.439091009515227,2.5361943170683965,6.1348023904510995,2.945716357880457,5.327159633272238,3.2018395634158203,3.6188165891861246,3.2265509555065464,5.659753013089341,2.8069979272310697,50.54054463039424,28.38337667615667,9.25021052578101,16.409130228863724
1991-12-01,9.418180366904005,5.380333218867239,2.7621577309929535,16.56570333145715,7.618652872950271,3.633192198446711,2.3154242050584806,5.589650450743822,3.685932975020112,4.050233296838623,2.574670033751403,6.2892430230902185,3.01825714633992,5.094767461649319,3.0087382121691597,3.6188165891861246,2.97323098983604,5.714045380084798,2.755238991445097,47.633915597237795,27.93255691543588,8.847568672900108,16.356355297661374
1992-01-01,8.992165614859937,5.795949160549441,2.2691411202070633,16.672108170328315,5.097354321447423,3.3044883300803463,2.097205285178294,5.529401635265163,1.5729352493703885,3.0049959290205486,2.8783145516309006,5.9592097202245675,2.567051544062693,4.755870892834579,3.7911507886053464,3.589292847111203,2.588582844829901,5.731963531619222,2.2512940574399565,42.77708939207096,24.8318308075119,7.440171736079337,15.316504900933348
1992-02-01,8.461300204264965,6.600076916999642,2.2618088587772256,16.735664694647046,2.4017203265596976,3.6825908729420043,2.3090594374309603,5.643257218001541,1.5729352493703885,2.812811942059401,2.7412295105827766,6.103589058636949,2.779987812875806,4.477940641940137,4.0166006664764,3.589292847111203,2.7516783408000123,5.50768887269264,2.2328139334686803,38.17112300599668,23.32533240278787,6.730469591778077,15.855908181340128
1992-03-01,8.85871566831229,6.636634566707711,2.4058899007693313,16.83058215493731,2.5098577842266323,3.7522306847913356,2.5220721031275595,6.053926313822444,1.5672462627534856,2.938444728127809,2.954264933425854,6.072691837424493,3.1355172675415766,4.754073802286918,4.0377106956266395,3.589292847111203,2.887564829758116,5.386625074387341,2.671286255427585,35.937459907692926,22.15606148765845,6.563506680552855,15.656891503691917
1992-04-01,9.675417165796718,6.312614045349196,2.398196468648539,14.881207010663866,2.190908475582809,4.031255316412263,2.4625101553918505,6.028441440711241,1.6867923830762521,2.963821103793407,3.4973096765396505,5.146363762959449,3.1309509032620753,4.6736245931285225,3.939661059929289,3.5602308337913335,2.794593039055915,5.3666836032062015,2.7246655088438487,36.97470425136178,20.317139812899534,6.707438592189963,15.273511445930144
1992-05-01,9.81534818181804,6.290312988030777,2.394368175262951,14.714973910247764,2.158568846512665,3.835562934454373,2.5001390121625278,6.011595201078634,1.3213447645695986,2.587972939209582,3.4993780302259303,4.943345785517295,2.9787825569603577,4.096373611266291,4.155283492009065,3.5602308337913335,2.799870238124136,5.436619378648366,2.736866741373589,38.386597242446285,20.895534756323286,7.036460690465818,13.393844431876767
1992-06-01,9.546522504734067,5.983393797582215,2.390552085355413,14.075544808297868,2.0319947357592127,3.3576371038003927,2.2802247393841846,5.707875168831222,1.0772131250862849,2.988671628588424,3.541039315462857,4.43786871935492,3.041500806544395,4.08303462278754,3.8808964986556838,3.5602308337913335,2.4990651670760755,5.232958572174873,2.6050103438242544,35.11719996952052,20.39566474151715,6.567821787401273,11.74277958987866
1992-07-01,9.51969237741861,5.0740956760404465,2.547908530098475,12.707192961920333,1.880390017612843,2.7633948074600845,2.17992761685597,4.838535338040373,1.1947611361630806,2.900396435813324,3.270551893814222,4.452507904141179,3.108316627706742,3.74706920951855,3.9615473328639794,2.7267099933399486,2.1844840280859756,5.035388291665743,2.515105771018966,36.396561231178026,17.81268348582237,6.351889045436021,9.164470201691266
1992-08-01,9.310282007315873,5.611006321908585,2.2329476398088133,14.22423742137573,2.090529809211983,2.8546154644010002,2.122530347909546,4.838535338040373,1.0746406180953905,2.7709932438222395,3.064280625043292,3.6069483818029546,3.0993371527679336,3.489362279201025,3.753949572176296,2.7267099933399486,2.0136812007952365,5.021610654036657,2.0524383512056765,38.299170389210516,19.41929143307366,5.707243160951547,8.16780466051834
1992-09-01,9.13421979452309,5.618867700527641,2.0619287202735315,14.279754768692143,2.452134422059604,2.830390941640193,1.950231782932832,4.838535338040373,1.3150261171665178,3.0597697008577285,2.9543793713457056,3.595158425224554,2.944568125364899,3.4135594068594344,3.7799832116796495,2.7267099933399486,2.1366217819601907,4.732463023698141,2.292644215083506,39.37691104876628,20.10595338240151,5.50497713411584,8.050324337019532
1992-10-01,8.92197195350013,5.052057463460846,2.2187914975361878,14.755285548014196,2.264756172112836,2.5437082286845047,1.6242949523247674,3.2924791354283833,1.5541306594078819,3.116454437447036,3.1421235376825507,3.4177451801586933,3.1521288566233707,3.4703184009636345,3.979048364098059,2.2365138826025976,1.9026717307463414,4.711021746579913,2.1437957153470855,39.037035432372804,21.34911931245762,5.239161992261376,8.0042727636906
1992-11-01,8.76509532584584,4.964168911444133,2.2187914975361878,13.995676912587252,1.3196153426981105,2.4460316134537585,1.4031594284144688,3.278968355249834,1.6667105224981604,3.094198067967824,2.8736302637115685,3.2523191705560173,3.002378574882414,3.2335409534900883,3.878777860525684,2.2365138826025976,1.6169069306751993,4.769226885750033,2.2031656726937854,37.977553294176225,21.88115749995947,4.282825004983204,8.255044688159785
1992-12-01,8.552192270257963,5.20931767313515,2.2187914975361878,13.455405737164083,1.8417752500801576,2.264235991665231,1.4606636504179704,3.274508688172073,2.1480607652216044,2.2944333199402145,2.8542546044188377,3.0821580040599983,2.859375527733654,3.363656816765026,4.133734151085111,2.2365138826025976,1.8876458499886617,4.756401443606251,2.368979472394539,36.97474881109639,22.755925285929113,4.361871481394175,9.315607602886544
1993-01-01,8.253369801512322,4.569583161385493,2.531780798428951,13.528703585000335,4.688681669122818,2.4552556719099172,1.5176259144670468,4.451175516906503,2.020262223068503,2.8348998258378444,3.462171559390903,3.0921910338586045,3.2065482468073725,3.406021701753925,4.019864360559744,1.9048139661036245,2.1071154639471956,4.639535773594261,2.803621744181939,33.78719778160857,22.994452495386362,4.412974367817668,10.120988813535492
1993-02-01,7.838959862536798,3.937264475751512,2.5237932589862844,13.551119426682545,4.926513552168199,2.5365388056630245,1.2959298230799554,4.6894022130634205,2.372583175913867,2.882084708070831,3.756045605478331,3.0771658666753687,3.1951632072249048,3.334623612498877,3.6491307401804285,1.9048139661036245,2.0290348373734446,4.441225513133329,2.741375471246865,35.282141157257165,22.045589554713054,4.4717166194280455,10.56537817764287
1993-03-01,7.287667790935082,3.92721445487485,2.6584833811060804,15.199078142382882,4.883542038858124,2.425509717124541,1.1305539248479768,4.54016538675992,1.8957824897469777,2.690501938510348,3.631344701112127,3.062286021398286,3.040167689098361,3.5739905571519515,3.7600751103719965,1.9048139661036245,2.2156553269989665,4.335038705518546,2.8902675714187254,35.38405517161549,21.038185377954257,4.674524222372289,10.709820269404657
1993-04-01,6.34431828811417,4.472039429262242,2.4962294559913722,15.007549416442378,5.073514118943923,2.4164762709451892,1.075266128462271,4.391940426799046,1.7762363694242111,2.6152416838027825,3.6989614282732397,2.556049697953444,3.1748565576561028,3.718040865583827,3.7600751103719965,0.9493875766850124,2.1284798810643046,4.405997334229816,2.865836518130749,33.971373472846665,20.601033597767817,4.649041393162356,9.711128160493354
1993-05-01,5.9455373664343725,4.486537165115578,2.338376226686467,15.212566022898022,4.770920255657618,2.324607847033988,0.9615418821660171,4.250313310979159,1.8913004525256127,2.6044970169222914,3.417461712449299,2.2258470600942992,3.1703991531896847,3.513539448653269,3.627812434702804,0.9493875766850124,1.9431562128756852,4.300789127752758,2.6533019061561802,31.885039874327383,19.404867654997517,4.373858709320944,10.536059018774457
1993-06-01,5.781765055100241,4.753541776692005,2.3347363996991,14.673477096116994,4.700636740249653,2.2389034933471663,0.9083613551991832,4.239051074708922,1.6529205618269316,2.0865692945560177,3.2835279963583375,2.2258470600942992,2.9517339898665007,3.0914500075027718,3.525268333796383,0.9493875766850124,1.9442356621753198,4.631663089206484,2.347485558093254,31.41529878092868,19.108114503597527,4.692541214572232,10.763076024988028
1993-07-01,5.940797635625028,4.786179935700563,2.0234153363968055,14.626050414917202,4.636472622576537,2.5059323071345396,1.1789995066038728,4.486240125746299,1.6490265668629434,2.082637299668999,3.4029625522415508,2.2329476398088133,2.7379710815163882,3.33079938837324,3.4538427296623375,1.4140021383590273,2.082830084521614,4.7939459362447145,2.5485827637534264,31.382069912462775,19.415575763839634,4.186517514526633,10.196496813022593
1993-08-01,5.881391941910685,4.475315154153314,2.184174191504873,13.60849066852583,4.67459045555616,2.9577123414710194,1.2309460949974316,4.486240125746299,1.7657811920328115,2.1226328132684102,3.607965934005364,2.5438573638684403,2.7303036186260066,3.5614261840730244,3.380947943172341,1.4140021383590273,2.138970436873233,4.611509439483541,3.1334310779419283,31.01550458104363,20.301424216363138,4.343136567156147,10.11497957541776
1993-09-01,6.149810970379477,4.217476795117214,2.1739986636406528,12.083179539139133,4.1159043912811555,2.752464633536622,1.1733402023828,4.357113559635284,1.7657811920328115,1.7372582034628437,3.603669011289057,2.69216575662643,2.6537860257784374,3.3822585192169186,3.34376884665728,1.4140021383590273,2.174149198150932,4.68835466978339,2.7806208887782624,28.178237176998433,20.789599223885745,4.4893685974210396,9.731722438310886
1993-10-01,6.338540988826313,4.529825570201229,2.0171358863779965,11.612217810881909,4.2265751257871464,2.752464633536622,1.5454614986256665,4.357113559635284,1.8801875367541854,1.5498418742396325,3.434241629974899,2.371652661731538,2.7132236883299576,3.311633431155503,3.408733422280541,1.5674362514679352,2.0724698656499285,4.752513754840582,2.6799309793819504,26.848787350350367,19.90568611482182,4.98038068843063,10.426109571228404
1993-11-01,6.627821723222205,4.633838788790623,2.0171358863779965,11.585780509778143,4.761420779740799,2.659485758141855,1.4893865327597844,4.082208096401185,1.8713907951190656,1.3025273083490774,3.4594588047832,2.058663360838775,2.640875098311657,2.2194649141983547,3.4056237859700467,1.5674362514679352,2.070467336169113,4.3840300506525764,2.5034727744574603,28.58220541565437,18.87762485794613,5.3304266379139875,10.863375341038362
1993-12-01,6.495287268699901,4.807860176288425,1.8634079544892934,11.345840481822433,3.9943547351894537,2.578426920299659,1.4925622763398927,4.205604717878586,1.6393713800727738,1.5160893414838839,3.5488205399905937,2.211780525361906,2.7113373570009536,2.4519887859992373,3.4931405584664788,1.5674362514679352,2.085278901913057,4.288819809491784,2.6614297307550494,31.812277788747867,19.146678174256326,5.638205897668813,10.23912411012251
1994-01-01,6.283474250520094,4.880625234975788,1.3964540350372978,10.692629518177554,1.6267338029809508,2.941399268297662,1.7595894082597319,2.9891659360549383,1.2858196795024313,0.2288458068864685,2.6053279862891188,2.531780798428951,2.493206571097506,2.0573148567996746,3.0382923488603275,1.7147734618225385,1.8182319083190457,4.266857201786056,2.392914733362783,29.725150926384103,15.69770307486169,6.1587064100904865,10.161025750819519
1994-02-01,6.088623784441793,4.8846474867973555,1.392133851860855,10.761945427932407,1.6546901132952208,2.9252494775922955,1.8075992864530654,2.9660356208699667,0.11716501192822193,0.28278078618546587,2.570969127410283,2.3641763057040244,2.484586140803735,1.8226665067620829,3.0799309762928218,1.7147734618225385,1.757562748111674,4.335572586041181,2.4598728231462808,27.321955712582024,15.363795474389352,6.590210035898547,9.314907619568391
1994-03-01,5.915628638113901,4.8633423768539075,0.921665510492442,9.571792274828628,1.5991805951463434,2.9066483130278264,1.6985492895787324,2.8315846953269386,0.23446746130098006,0.355145530263723,2.2513402786359826,2.197890671877545,2.4760576143053825,1.293166990877559,3.0093067383177186,1.7147734618225385,1.4774550557995703,4.23792084403809,2.2890111156313786,27.350917555531183,15.603837746413118,6.198848189798722,8.961214571349752
1994-04-01,5.915623794694103,4.818808863357482,0.9202518931162196,9.750106979120421,1.5844957589697728,2.7175558728577798,2.011727851638323,2.6976540467074095,0.23446746130098006,0.19976818631475268,2.1214954494330307,2.338376226686467,2.3336742488661244,1.0419013334768579,2.950590186493862,2.6419538488703154,1.6247200178304944,3.971797702178037,2.3808141862943444,27.792593134017096,16.004368702184735,5.7738705241191735,9.787766100416695
1994-05-01,5.6730783250122485,4.747370603860901,0.9202518931162196,10.230386247402024,2.043671308622841,2.89874880129668,1.8957836235681924,2.820692389763657,-0.23446746130098006,0.15431223273312256,2.1082038740583897,2.331107886844741,2.2626866684048785,0.360548620328327,2.916018374952234,2.6419538488703154,1.703618715256816,4.205832915506669,2.5224605176095594,27.570586509032236,16.79809708403561,5.522924425564213,10.45909367250677
1994-06-01,5.584866138832645,4.6072271520631425,1.071165559492826,9.815726518696,2.3926912544311563,2.9988555743939216,2.053245684120597,2.6872973488431207,0.0,1.2744701638192524,2.097953901461036,2.331107886844741,2.4625073035316802,0.5434315938892986,2.821274137092722,2.6419538488703154,1.7180678937810612,3.7708667146683084,2.7191821043278885,28.689797594790136,17.561598127908027,5.727911033084743,11.32376041944747
1994-07-01,5.168158524929822,4.641205526391712,1.3772214621226908,11.072653882727845,2.6065391942634797,2.7126411238227455,2.0042849349200864,2.4220442345425752,0.11675462516986812,1.574406279799323,2.161622153052001,2.029734006367523,2.732406180187663,0.588197914381805,2.8187432604663165,2.4654593898751465,1.6220624159928754,3.6762637560683764,2.68101012210451,28.84555258462673,18.26535616947007,6.657332012097594,12.456266452446174
1994-08-01,4.96600037210051,4.688377855447179,1.531423497304285,10.96339558035515,2.5274452543285975,2.5181180610497123,2.209449407711528,2.6736111314400013,0.11661846769959183,1.8546658388673087,1.9692827271216906,2.1739986636406528,2.859291080284976,0.48827376151416857,3.097850728848872,2.4654593898751465,1.6085406797813562,3.7551313464565084,2.4132683642181796,28.312637986121956,17.89675736707612,7.0941302462634415,12.813732000050493
1994-09-01,4.77289140774646,4.428636369965666,1.6755913728438543,11.07546585507575,2.5412814068909384,2.6787290339131076,1.9948152817987896,2.5511708006535905,0.23310109512859611,1.886591534763049,2.170404689406258,1.8576385572935727,2.920401867064548,0.5900794995823411,3.0327702832192216,2.4654593898751465,1.6035130913054196,3.8274226708233883,2.4278465158480422,30.382326475092647,17.36291257210474,6.300037573010986,12.913579366735561
1994-10-01,4.625243208948948,4.273272902048664,1.6755913728438543,10.122031895617578,2.3509588670785675,2.766794894750735,1.9377360216837225,2.425149631360757,-0.23310109512859611,1.8393872668331923,2.0406206165445973,1.7041465854852333,2.5746668748333867,0.4332213545051644,2.8902020298842146,2.306013983494193,1.641048558624636,3.8084074991493466,2.1057805329026458,31.42163260726516,17.85641258664823,5.591270161849282,13.198301521054168
1994-11-01,4.199732112012633,4.278827381759864,1.6755913728438543,9.73683835250112,2.2386024210653055,2.5023643023034836,2.038222226962194,2.4220442345425752,-0.11594241627710389,1.6898189658134832,1.980980358761908,2.170627858186336,2.6397444485695587,0.5608965970205659,2.7132384569693357,2.306013983494193,1.5588251938897457,3.8767778410805143,1.968916531887288,29.116751565887444,19.160208762147192,5.906501559341137,13.291853402090226
1994-12-01,4.2480266694111535,4.245628289368497,1.8293193047325573,10.13522917891474,2.4387606267575634,2.6022089019331673,2.2496362418380045,2.415884726175044,0.23201941504629175,1.6191292646550615,1.9878296134407059,2.3167059281535174,2.6397444485695587,0.41922565716046023,2.563866745160137,2.306013983494193,1.5729137841264063,3.9511224968075354,1.8423563138314059,25.542122410777736,19.22339147812582,5.418628182032226,13.413937999355063
1995-01-01,4.453433407619833,4.271257489598312,2.5856953836298935,10.133658434768256,2.502837574825989,2.416225578142228,2.1955885382018536,2.2785834747518052,0.5790422806709827,1.8480522988722825,2.3117864674246924,2.3167059281535174,2.7657690334237373,1.0097925570299537,2.5451001863444844,2.4428728377619002,1.705278838271962,3.8513606150932134,1.8554508669169856,27.72379337263695,19.969791319011556,5.0665240924773425,12.899197127575901
1995-02-01,4.473218822007485,4.724034815890832,2.5778531328076504,9.521920629765246,2.550672298982626,2.4033207485490315,2.291768949596573,2.0126559835466296,1.8562077823270684,1.7444102722349974,2.204592254077564,2.309571479464978,2.8227764459201055,1.4921722823569183,2.385910114998868,2.4428728377619002,1.7272052638610091,4.155385770171449,1.8085614238574799,28.83246134943405,21.369230257386775,4.3678393003411475,12.629376085232424
1995-03-01,4.710036073024515,4.975166997771918,2.7150989065950704,9.420541091852419,2.5769102210771777,2.300988168346052,2.494931594042882,1.8856746395722546,2.0858297424300787,1.4950757567301132,2.270781378578146,2.454110891611716,2.813305962403234,1.5519678856996677,2.3783122371675347,2.4428728377619002,1.8033054942888427,4.780171006973166,1.7265895686569444,28.515998199170724,24.262180412831835,4.517471640046766,11.460330603897395
1995-04-01,4.576181857748907,5.111198227829217,2.5623104887896986,8.981380836774067,2.829515519168435,2.296922510245114,2.382291395876557,1.8832935153048957,2.4292770821034537,1.2862277607479378,2.191546036286951,2.284943277234408,3.00724621332229,1.5838932892819457,2.5229714493185007,2.7233223969572506,1.6520421390313622,5.009132393939542,1.7030923153193989,28.030190320079342,25.64605408324745,4.964525785827467,10.396077943965398
1995-05-01,4.274638311495504,4.947159860126948,2.7110094009475283,9.21391478020226,2.713696374683572,2.0327749318056476,2.320295074729195,1.6301344222422465,2.8920558705733512,1.4271937635371046,2.1371210980930755,2.428040370705453,3.1367424952727596,2.0179891639713787,2.3762299119005625,2.7233223969572506,1.582014493186179,5.059299782564164,1.370955230248594,28.16398358616339,26.881380698602662,5.085803010116496,10.30484140788177
1995-06-01,3.921080796472598,4.934132333998598,2.7028672387919173,9.058844958223533,2.583942677526263,2.1258589280350293,2.062996844086573,1.628092881245724,2.657588409272371,0.7826475832433566,2.1545301594370514,2.5778531328076504,2.995235273746122,2.0589212095535103,2.601299510660926,2.7233223969572506,1.6225632536255752,5.5191940349154756,1.265896093005292,26.687900208702153,27.029038294727272,4.0894314817274235,9.136778311093918
1995-07-01,3.7846812902592397,4.558814843357517,2.4025179586989687,8.16529717890857,2.46583455870919,1.7684009044360849,1.8111790368255498,1.624024884447195,2.5346916417570142,0.7078502981269885,1.777102031271216,2.8943376039488378,2.725336397090139,2.008729649976182,2.1764798977692124,2.406119095853221,1.4496898179045203,5.428320356424177,1.1869666070343676,24.38102810920242,26.638124482151547,3.5394842370109814,8.211958666005614
1995-08-01,4.013904286128955,4.197129511572939,2.254039831941057,8.008512875836171,2.312112930803334,1.4984819873467004,1.6000407837077901,1.3724579875497689,2.1902963192866665,0.30593223304133943,1.6403134932033936,2.727441791965912,2.5837781916760783,1.9331846673349418,2.107133632538627,2.406119095853221,1.9418085857101808,5.574695399722263,1.2765114206829686,23.132917118528162,25.626399033633174,3.373535416098461,8.329238518891913
1995-09-01,4.05802948981675,4.285700370563017,2.240571697526672,7.723254011277891,2.0772807466105547,1.4866877835173042,2.0576903953848813,1.624024884447195,2.1877597644291313,0.08419057246280559,1.5037414223993295,3.0213778596496432,2.5116977773158133,1.9783174221013056,1.9529665524133932,2.406119095853221,1.98872086449855,5.479735791339024,1.1870735558646928,21.701116817300694,25.30483549873881,4.571352193663802,8.241202820711191
1995-10-01,4.015128336429985,4.255063057506181,2.240571697526672,7.5490573231017155,2.1919242161872354,1.311779728076079,1.900915091125821,1.5018991640667778,2.3069147869862583,-0.0851242567867061,1.4672402798319162,3.0259494763112293,2.770618138365588,1.9521844046990644,1.8718993409144957,2.402521166675431,1.8789279520373015,5.376786146264934,1.209894536535483,20.644447271126953,25.47942930048288,4.3832999216657065,7.720205036058081
1995-11-01,3.8910535706155436,4.346720775515767,2.0927520105956,7.549433836579089,2.2246330805225867,1.5762103205233302,1.8452670520780146,1.3758779947739441,2.066655905588455,-0.07011916251427053,1.316440568495203,2.87245750450289,2.5718503312304186,1.884800065671044,1.9020673362920348,2.402521166675431,1.9446537162048472,5.508855896150866,1.4541937027833463,20.332404239586044,25.182770214134997,4.0300523069540795,7.44144751288629
1995-12-01,3.4844195805828093,4.228695761449419,2.0927520105956,7.6229810950945165,2.0881368752944773,1.6688956743556638,1.7944639144540808,1.4962942673831137,1.7231813520687034,-0.03588532616580764,1.2512458042668761,3.007745523727756,2.5067266112304587,1.9293277034325484,1.8163946627016259,2.402521166675431,2.063850632961106,5.419465573528726,1.4539105388455376,19.99253609389551,24.920448552256104,4.6447847687422605,7.577832498846915
1996-01-01,2.53009798179491,3.807251304544934,1.0455659104338544,8.034491994513715,1.5692569789238497,1.7265047090842423,1.6410719979394806,1.3673265959782022,1.60369062368666,0.3605323693156137,1.0111325072410082,2.85948752770544,2.691343837036353,1.5069543824661302,1.6330477264353327,2.089627253817028,1.9270979781742525,5.431387358469575,1.9426003174559447,19.276560319277223,25.362326115068612,4.690889527943387,8.346662069930977
