reporterISO,PRT,ESP,NOR,GRC,SWE,NLD,DNK,DEU,CAN,FIN,LUX,GBR,USA,CHE,AUT,IRL,FRA,ITA,BEL,POL,HUN,KOR,ISR
PRT,0.0,0.3188613870901358,0.0041781130493255105,0.004665284520740991,0.012153464631386623,0.053185548057056414,0.008524871809790373,0.15619225858660662,0.0075032988607518026,0.0062645149645350045,0.0020639790036647765,0.0814088877765456,0.060889361818839874,0.012000989535864039,0.007423760266439245,0.005276213445229717,0.15769297606365495,0.043127732787304696,0.034986054219478056,0.013170549309377798,0.005426279329242535,0.0022440742320352825,0.0027604006419942938
ESP,0.10802930179279133,0.0,0.006194636481540073,0.010877514098773277,0.012683170091677286,0.04612973377873279,0.007755597394617693,0.15472061208307847,0.007741155355629027,0.004970176106641554,0.001550158782194286,0.10382413960281864,0.06285816411243915,0.02387541631488196,0.01177533681136512,0.006807229497077162,0.23400222559947317,0.10693056800435707,0.038411649696727265,0.025409128315091616,0.0079415893762066,0.009993757911424246,0.007518738792462253
NOR,0.004512399481555229,0.016485104185173596,0.0,0.0018521396031574088,0.06628599863181271,0.1351057640627851,0.043577943024571256,0.19786988821402948,0.007919518366258625,0.0141665887278647,0.00027030741634823005,0.2589744950804407,0.04789322305039151,0.004176809304652907,0.002537030435478188,0.012460299498393392,0.07698218577684125,0.009578970173052998,0.05688229095902412,0.020822524758422632,0.0008199701047362706,0.01978858715198751,0.0010379619930221272
GRC,0.012336659465980232,0.061303743291387595,0.004279240561476321,0.0,0.01596857475753664,0.04240737502656048,0.011118753662077466,0.17126681210577224,0.011259816361727192,0.015565819869726587,0.0004903646839447794,0.09575412998822579,0.09428857796347641,0.011371172804396548,0.017898337890929004,0.004692407116586264,0.061651661443914554,0.24726312014118634,0.02999886921907882,0.030543779669956677,0.009487462588259662,0.02421103123450899,0.02684229015329135
SWE,0.0063175814964808955,0.024311682519634826,0.1412873270668314,0.002734455605561285,0.0,0.07004927068650013,0.09302950014024969,0.13342107498361094,0.009532257809018518,0.09378894112565941,0.0009655299356252822,0.09282191906495407,0.08746070616897544,0.015389503825383923,0.011531503643970036,0.006925292785962454,0.05866419440896647,0.03266356696852902,0.06080179125431712,0.03906660877848325,0.005999738906187137,0.01023895331467205,0.0029985995104266205
NLD,0.007657799144180667,0.03553938290326975,0.011314720265802781,0.006516844134564096,0.02323132483226492,0.0,0.016792861838566053,0.3124362639290881,0.008164531217161071,0.012951630825697818,0.0031276165843695217,0.1103917988061291,0.05420276900117225,0.016855245914606156,0.015079402610738526,0.010645962547336229,0.10543629866160166,0.05641782732886029,0.14046515536867207,0.028895294497027182,0.008377559825842037,0.011416228779584696,0.004083480983464773
DNK,0.003903466147756757,0.024536411522670384,0.09629434242922864,0.006089947431825843,0.16681380752341485,0.05729271313124481,0.0,0.236719905818811,0.008178189162324044,0.037653283551020815,0.0006792662323790279,0.10328514240334194,0.0711462316039992,0.012701445638810399,0.008820574504277574,0.011443346535942983,0.04361682127116393,0.03123484285374813,0.021124405929638435,0.036414770600470256,0.00831016071469987,0.011548064257204185,0.002192860736027108
DEU,0.009174132868486713,0.04589596181088584,0.011149591151424615,0.006281181015474887,0.02847506289842386,0.09302811552377076,0.021310735449486255,0.0,0.012140128712304847,0.011386151489248472,0.006898088797999815,0.10447265001568455,0.13106500342215555,0.06359544090471764,0.07371679718210589,0.007239233980690896,0.13300296933378825,0.07217166699490636,0.054739601755829904,0.062109260602928484,0.025893417278496283,0.021046402809018625,0.005208406002171414
CAN,0.0005735363870643972,0.0024900702948528596,0.004818827226412237,0.0002465666338097675,0.0009433818371093733,0.008554647724519731,0.0006532959570314618,0.007536829989806853,0.0,0.0012114638200104338,0.00028474542283349027,0.03495987208339239,0.8998994815748741,0.0035022434929201456,0.0007916958406035539,0.0011819661800030181,0.007468043499431598,0.006544325017139672,0.00712388623472864,0.0009699969051151013,0.00026313606712421235,0.00906553831832012,0.0009164494928969681
FIN,0.0037139760670208454,0.023770483866410754,0.04562590545195053,0.0032480805428109828,0.1760381060556206,0.09815267207809963,0.028524130784681002,0.18292560470348804,0.018298711834556464,0.0,0.0006032082464003169,0.08019097564791068,0.10398993131181206,0.013692186364092003,0.00895921729877555,0.0065110705662375454,0.046429246895127736,0.037209120501634954,0.04853477496129015,0.040289729363330584,0.006288289525543688,0.022201728740363098,0.004802849192842575
LUX,0.003551115624655702,0.025239826353089898,0.006563444165110877,0.0033335091826508035,0.017525387447606507,0.061065292503912696,0.009575591220361902,0.3268606218384148,0.00971048327116464,0.004410504254032828,0.0,0.04382811985724469,0.039880768930489495,0.022114596795903444,0.018551290107449964,0.0041857719795104385,0.16905210756506514,0.042359058999606444,0.15510888574917805,0.02678364509675001,0.004849635712805783,0.003920686475614059,0.0015296568693817317
GBR,0.005864806398127007,0.03920500438419967,0.015608868120570323,0.004212009948387801,0.023212240615011037,0.0954250528052343,0.012053782940968875,0.13923673105214726,0.018695290852945808,0.0066873459539550295,0.0010002754005965092,0.0,0.18638558179880987,0.1331320894628078,0.00725240896381269,0.07896276756077138,0.08997653032377244,0.03838258931151717,0.056740606820432464,0.016638700850720795,0.00553918283670974,0.02051670527195096,0.005271428326550919
USA,0.0015039266675894315,0.015826337979395456,0.006489052188333334,0.0011516590668591475,0.006482426898321214,0.06471580816951754,0.0034961059785079806,0.07489254631992018,0.4598760650438608,0.0031170343783434875,0.0024491095604870223,0.08092274400126594,0.0,0.03640657605430932,0.0057950453810641615,0.01202536009660707,0.05032638863839094,0.025689419950970037,0.051894292215661955,0.005725835054927268,0.002719689660232899,0.06669433217745893,0.021800244517976044
CHE,0.005706894455902485,0.03503214528157181,0.005746172928821426,0.005499467340710356,0.009374598382732614,0.03258541625441987,0.0059189702189494315,0.26381780111574166,0.021848306422549216,0.004687608883915989,0.0018171591043827395,0.0802354666138387,0.17629061545743646,0.0,0.049906186718964456,0.006306998570533555,0.11315266796485325,0.10119243458481426,0.03559314918040451,0.013503567988078417,0.00633350177306229,0.018433677546324342,0.007017193211992481
AUT,0.003130077672070779,0.022973210505889113,0.005326789779368448,0.0042874996990791715,0.015369429909789824,0.022710943267492355,0.007437388849090276,0.41855399631515283,0.010669029659817288,0.00532394248844735,0.0019163858313961705,0.04145819141544687,0.08451368484475015,0.07925915100441264,0.0,0.005227398610614151,0.06510175082856928,0.08909632046064249,0.018563179175845875,0.04165033348182599,0.045014376172332914,0.009255006420414307,0.0031619136075519776
IRL,0.004391400548548941,0.03919145448771781,0.0039397143610950935,0.0034059880181376762,0.011413311165294758,0.053350963322763297,0.006959069654488518,0.08258302316584756,0.00964281331105297,0.003951926567818945,0.0008420357905917627,0.1767061558518939,0.26787112761285237,0.06663777087636091,0.00499159375145998,0.0,0.05696185244771783,0.028174927144730896,0.151594028962082,0.011946175664064567,0.0033510824884725285,0.0052552538029657925,0.006838331004041983
FRA,0.01377640617552403,0.10242338432871036,0.005121173130748169,0.007228793357448892,0.01652637822021384,0.0587155935041971,0.008266753475135582,0.23764066913334544,0.010140771912280059,0.005400674062600575,0.00728409088280437,0.10193644846164106,0.0966382087377059,0.04449883018939646,0.011980991416124359,0.008155593306209408,0.0,0.10401122380838673,0.10568122018785392,0.02401166324560078,0.010785989967592773,0.015651660605323487,0.0041234818911567005
ITA,0.012618429803163933,0.07189183223772833,0.006301104809256547,0.014910418440197418,0.015579964767072714,0.036786388132393356,0.009999230561551331,0.1960757607546478,0.012783947382316573,0.005678218665780909,0.001990579665172971,0.08232834667677583,0.12077063144414638,0.07725644130361245,0.033470243627557836,0.004380787439756633,0.16677567523097614,0.0,0.04993266582633575,0.040110817692964394,0.015085880520516425,0.01626559300475462,0.009007042013321788
BEL,0.006102074296476917,0.03244731795148798,0.006555697521881534,0.004774767919840567,0.020198490964925982,0.16145010953801042,0.009502479937399983,0.20647044559699915,0.00792385379787767,0.007138026828946087,0.028249362572404124,0.09788474847404621,0.0639586429986765,0.020385658681213767,0.012991195966319083,0.006933573586805081,0.2083370062174838,0.05046040444416354,0.0,0.02554976341012962,0.006714866404565187,0.006062483287780816,0.00990902960256599
POL,0.005301008384369666,0.036054594657708515,0.025295335232800725,0.005605752718869852,0.040586486297454545,0.06101425449742253,0.02363687776111447,0.3803246809351216,0.008444270321304157,0.011627833595432008,0.0016436541800113507,0.09631070311195823,0.03392001405405148,0.01288089547985632,0.025451045361037723,0.004822871221851416,0.08212867298139474,0.06673470467210747,0.03239277745962952,0.0,0.03833400345299099,0.003962457851226479,0.003527105772286024
HUN,0.004449681644391502,0.04297386338769666,0.0036897563971222975,0.005737759886040248,0.01632318569203453,0.046457601002477096,0.011258196387154955,0.4128122846123094,0.004254257078210607,0.00467914212902075,0.0013990669344556164,0.05829009385345506,0.05202423953843192,0.014757536625947542,0.0815181155341328,0.002914663129109728,0.0695200214152736,0.0715934487185141,0.026364354088404488,0.05857080541084904,0.0,0.0053797765145084985,0.005032150020459317
KOR,0.0038446984686500373,0.016825340388591924,0.022696548299139096,0.009222253441530123,0.006941781751753464,0.04216239369589567,0.01399465927507048,0.061656464910557825,0.041901398541733914,0.002846230263431314,0.0027524701109805498,0.053224037309714534,0.5768923729500557,0.007639370037584318,0.006896062904376392,0.0034052934757558087,0.02601029576356185,0.028784010167143447,0.01908978037515898,0.02914537745890881,0.01310226175111039,0.0,0.010966898659295421
ISR,0.003422417127186163,0.027815950673885096,0.0019320614954191555,0.010041542244951396,0.004502691226996475,0.06111884089816877,0.0023704270163434253,0.04474477131069674,0.016148396758938064,0.003007933241362563,0.0005852861388412001,0.10728300371170169,0.49200628754163983,0.03899038649362916,0.0023111087018687472,0.0032100512074540177,0.04482188058100468,0.028136941271401244,0.08082408542505352,0.006292742771389412,0.004122709087663809,0.01631048507440468,0.0
