reporterISO,PRT,ESP,NOR,GRC,SWE,NLD,DNK,DEU,CAN,FIN,LUX,GBR,USA,CHE,AUT,IRL,FRA,ITA,BEL,POL,HUN,KOR,ISR
PRT,0.0,0.43020698854707445,0.001959662257819724,0.0026854837414172447,0.01389414922719771,0.06721722410506822,0.00589294943682146,0.1601064455351305,0.0032742266276867375,0.003418298888213892,0.0022684177066821993,0.04023065539347012,0.02045688808749411,0.006083290412131779,0.0064619523412985285,0.012479558671777722,0.09314749903480751,0.06912287561442557,0.03501946947997026,0.011589154866908497,0.005619810399213009,0.006254789232123127,0.00261021039326755
ESP,0.06798183254976325,0.0,0.013679720801707323,0.004287198300103279,0.015336158484583404,0.07057876348489632,0.009756559921793185,0.21097209993753663,0.00666907651124539,0.006282807882095862,0.0024993397861640156,0.07393545615640718,0.07310467974535086,0.01906994810033145,0.011906999278743675,0.018773108623128032,0.1899545718231385,0.10486228835373104,0.044215791063131615,0.02535317588749627,0.013679920009268617,0.012044801301951017,0.005055701997432997
NOR,0.005130583476004807,0.02433342812707685,0.0,0.001126224868585373,0.17560300548937316,0.053048457076371604,0.08474086617336372,0.16809651033471892,0.03267233971638895,0.03362950364066611,0.0015489928549416003,0.09112258411349065,0.08505692217530002,0.018213943640251293,0.01099664123271805,0.010653738865834116,0.04759868785861611,0.04259272165347977,0.02525622021071554,0.0449557913591906,0.006012244734114739,0.03542219295289774,0.0021883994459004816
GRC,0.0055584997356005516,0.06861909188189141,0.005740704485684056,0.0,0.012055986267391726,0.10446631990756072,0.019623265406297653,0.20942681873339206,0.0045264804490216465,0.005324093099489328,0.004415768988976747,0.054235730405374015,0.024530029999888018,0.021054658551923542,0.019237138867372598,0.01371582292382399,0.09550101425164977,0.1604435139013178,0.061482015274323114,0.02109836222090999,0.014455177014915603,0.060626298875487886,0.01386320875770785
SWE,0.004373744387387182,0.017524395938995702,0.10562310679521354,0.0015392975117611795,0.0,0.10165103454023289,0.10116279579782309,0.23103127931570583,0.003480904170732749,0.06565464962567898,0.002983537480805437,0.07759119730789693,0.034809948523280725,0.009526985458157021,0.015814916385396286,0.01661351228458154,0.05566036359431838,0.04107123241446771,0.052782231025485606,0.043407851819925035,0.008775154200407064,0.007558047065963181,0.001363814355784109
NLD,0.007563850869292004,0.028065577485746278,0.05680867425663488,0.0019492904756680284,0.027190584448553465,0.0,0.01566871760616783,0.2665033703882618,0.005802205672513504,0.014610800384467774,0.003171963333237471,0.10313153239895395,0.11627432842030005,0.009102180573794541,0.008471943034183606,0.02073473255055294,0.07075496090766561,0.034687241392788594,0.15636729549071238,0.025791171554202626,0.007837101498010366,0.012152106906575356,0.0073603703517170545
DNK,0.0055158129438970804,0.020780248969374852,0.07174874496161973,0.002141477533614779,0.1612482749456584,0.10027884032815855,0.0,0.27029198185276015,0.005706499460673295,0.0188551757002889,0.002701072956547587,0.0644685165829886,0.03470745191645374,0.01052579161810847,0.01215241009727908,0.0153068630601258,0.03961858724060886,0.04631007089073265,0.04007963162119974,0.04320170579062027,0.010462949854781599,0.022851092223211543,0.0010467994512964839
DEU,0.009388557011172244,0.044361134952577146,0.015450329329949806,0.003189349436175092,0.024914463624701146,0.1431250369354984,0.020049512732381584,0.0,0.006837521159711581,0.01299915372720789,0.00543130978860732,0.0683606303814002,0.09623041239390914,0.07285532354558744,0.06460697829691658,0.016791772879238335,0.11691309765495042,0.08533523624379424,0.06636069303321616,0.07107196440983073,0.03854812038411501,0.014194766541717307,0.002984635537342142
CAN,0.0014218250919565297,0.006049188568218528,0.007564783445452919,0.0005492305762906495,0.0055098275239253225,0.01027632640832312,0.0029514114593369857,0.047555993800468765,0.0,0.0036451113512354833,0.0004961245139078848,0.026236134435603884,0.7921583009032793,0.01208655524317857,0.004829982217681772,0.0044450954956327116,0.017648409590949883,0.01907923534569199,0.005911823976642694,0.004470172473443251,0.0015438646362265088,0.02227805286090736,0.003292550081645898
FIN,0.008174999704833968,0.029087901790750548,0.0376728029842749,0.002045573981246449,0.19047882893043913,0.08455690708549483,0.053932076415794235,0.2260431159841551,0.010252802643085797,0.0,0.0016552801714165518,0.05204730685933111,0.05846484892736423,0.019505361838511103,0.014670494422660843,0.013884003754123339,0.056950562311366096,0.04382799356946363,0.035297934055523165,0.037824455053022926,0.007764076410688969,0.013671649613212905,0.0021910234932402163
LUX,0.004422704474388772,0.013775277235184308,0.0018984380420598882,0.0005308376695836326,0.00627094588529153,0.04456218391964835,0.002637207963908849,0.28462665210385824,0.006379924743171898,0.0019965537841574532,0.0,0.01975238188404775,0.09422196478140674,0.011236437796120593,0.0071202773509588405,0.005352155888095237,0.15573029797649376,0.030766334614082125,0.28389629410436984,0.013143681097993446,0.0052022039457115315,0.005902708826101061,0.0005745359133661613
GBR,0.007701666199405738,0.047249159460007864,0.053898880133791745,0.00254275243952136,0.025803611267379307,0.11553768116646922,0.01564578139594056,0.2114776613650921,0.029351506553489157,0.008178040171516309,0.0016162849481495965,0.0,0.12768844452463426,0.02332146531921715,0.010757861412591488,0.04262398161310684,0.09178814026550994,0.058352375735594146,0.0723264151848584,0.027897936535349138,0.008905863899389858,0.012841852658766185,0.004492637750219675
USA,0.0037072528040253704,0.015995343318135184,0.0062526443644917076,0.0013708094406591385,0.011555704465184322,0.022704103942536285,0.00849217075300579,0.14167959799961038,0.38124734437806435,0.005663970480271941,0.0008109149568074281,0.06445930950081541,0.0,0.03550565249348065,0.012340531880494433,0.04038659609195931,0.0549488135600021,0.04937700032746187,0.02333179943565138,0.006237308261483464,0.005765689822854321,0.08076124491524735,0.027406196807757913
CHE,0.004504951164002834,0.02620282297589828,0.0018626133538014605,0.0008115729050552991,0.008752845387350053,0.028050524211008298,0.004051722303491433,0.2716744774398549,0.008542580914929217,0.0048207330144750425,0.0019393960989238272,0.21551631616749076,0.10458616463807921,0.0,0.041526785270071455,0.0361480726489834,0.08890174567447424,0.10627889276667436,0.025168831676672606,0.008733197570354264,0.005462898775137449,0.0032855099725682874,0.003177345070703284
