iso3_o,PRT,ESP,NOR,GRC,SWE,NLD,DNK,DEU,CAN,FIN,LUX,GBR,USA,CHE,AUT,IRL,FRA,ITA,BEL,POL,HUN,KOR,ISR
PRT,0.0,0.15308266160942505,0.03439022477166127,0.03244568503528355,0.03333477030296578,0.05222510951300362,0.038047233661058104,0.046407561708655815,0.015229054635155621,0.027731691890339614,0.05580260936955188,0.058373171029569626,0.013476701081125158,0.05803897348550721,0.04069458801035564,0.05909149373006304,0.06991361403771443,0.05134342505302045,0.055666422403427285,0.035500881836271335,0.037732533630776395,0.008719157713992481,0.02275243549107664
ESP,0.12226389059700685,0.0,0.03104783928240992,0.03370456928576137,0.030968669271490046,0.052348619824580514,0.03650765470732268,0.04877461766788225,0.011288811587268176,0.02530183291521392,0.06154499898295277,0.05299583912422987,0.010012266940892564,0.07265132482135202,0.044163199270191564,0.048450318348281965,0.09007327416046486,0.06535361326979021,0.0577868983313371,0.035685249165433926,0.04028152503914653,0.007261512585532245,0.02153347482145865
NOR,0.021067953635982874,0.023814776734666622,0.0,0.021987915419458128,0.15147230622293378,0.05889702950080354,0.1154819855294681,0.05965131376335386,0.009276893111412873,0.0719347245769145,0.04720716300360014,0.050536420430617145,0.00795520651811309,0.03862700829043715,0.04131062896989103,0.044045138688938196,0.0382830691755223,0.03062645534041784,0.051753037959502375,0.055615204971405534,0.03766393598130901,0.007131064174057484,0.01566076800119433
GRC,0.032258857830811165,0.04195740435718825,0.035685251070118405,0.0,0.039629492450957184,0.043340615489842804,0.04380101797211057,0.05136574644407758,0.011020763967955411,0.03725335039845626,0.0489805119979703,0.036489102260756634,0.009880395187914278,0.05634280013679565,0.07484480876257507,0.032339361219337254,0.04717207915769163,0.08360544536427741,0.04470769256788615,0.05944423867643577,0.0864746503529466,0.010545443875870843,0.07286097045802489
SWE,0.015203747467890822,0.017684937024911678,0.1127714276954395,0.01817940446466456,0.0,0.04343701129396365,0.2792795759705851,0.051821490435388765,0.006552142468842258,0.08492378942779016,0.03659864276131678,0.033396995842389386,0.005655430391358681,0.03055261146814771,0.0364703390180694,0.028327200013354103,0.028482311307061723,0.024681291114838185,0.03860172246717735,0.05585591519411701,0.033396995842389386,0.005401435205038574,0.012725583125265191
NLD,0.017641025962947265,0.022139994509532235,0.032475102589324414,0.014724735956650201,0.032170012899028044,0.0,0.047340817753101186,0.09600894815348558,0.005004688593255744,0.02001225477744732,0.10738283051313197,0.07101122662965179,0.0043370211591991096,0.051622901770969634,0.03303201753190661,0.04076570417628157,0.06773378540059093,0.029863248408206273,0.23525856761273947,0.03164155272820213,0.026939573738871393,0.0035379258819043594,0.009356063253572822
DNK,0.015676021197750984,0.01883321584779903,0.07766755957067534,0.018151182439501142,0.2522892539074286,0.05774362339816722,0.0,0.07913915543622498,0.005904051960453411,0.04214248748005254,0.046871694304497336,0.03804767088280047,0.005110263571534375,0.03692642321434859,0.04315855204616173,0.030266585211116637,0.0335634811001847,0.02782464754419457,0.0495924786704576,0.0673675606311951,0.03710868591530786,0.004662751033516108,0.011952654636631753
DEU,0.017574713441871767,0.02312709948240957,0.0368750124084524,0.019565054715016933,0.0430285014031381,0.10763827609570062,0.07274081395098926,0.0,0.005315674865649215,0.025727391382516677,0.11403262913108878,0.04384757186131966,0.004630999413847996,0.07351465239727638,0.060405396200559264,0.030960471887741845,0.05340322507993802,0.04249924554332091,0.10438636443117794,0.060405396200559264,0.04452562709628853,0.00406349366420321,0.011732389346933752
CAN,0.04180346204103983,0.038798534637934874,0.041567558686783336,0.030426988347451053,0.039433875151609135,0.0406697858213494,0.03933477950178572,0.03852992939813379,0.0,0.037928902178989796,0.039211608123981466,0.043563148562857826,0.21224113651514373,0.03773460013377574,0.03540352574043958,0.04605453127765164,0.039564698434102624,0.035105766903261795,0.04031624937023014,0.0360507472416683,0.03443009913223394,0.025246425512890084,0.026583647286686087
FIN,0.022096633480270706,0.025242334774337023,0.09356232194348857,0.029855410328579312,0.14836311051038903,0.0472064442533056,0.0814999149664693,0.05413099341034298,0.011009832523109287,0.0,0.04319543918603127,0.039987857068256666,0.009524161424091527,0.03910593015066736,0.049690993950848,0.03593570150770668,0.03607837426803505,0.03463455176278733,0.04408606679811439,0.0732841977319462,0.04892188704582141,0.010136353060525743,0.02245148985487666
LUX,0.01900747242177162,0.02624764983918632,0.02624764983918632,0.016780354972784343,0.027332645039223044,0.10828298748988362,0.038749647642888525,0.10256507395906468,0.0048656986706742756,0.01846536982150719,0.0,0.05045002826233214,0.004243202813980967,0.09992674408230418,0.040570779908089556,0.032609881856869465,0.08803744308667592,0.0429837031944628,0.17459110904267752,0.03271286043115432,0.031711446336323064,0.003515124692862414,0.010103126596097724
GBR,0.02918640090604091,0.03317697790264868,0.04124624287173774,0.01835009839748268,0.036611833560306534,0.10511139312475103,0.046172413579091034,0.057891300274291804,0.0079350051515293,0.025092598798757942,0.07405575424698368,0.0,0.006828071339042351,0.05125656698442915,0.033567582499000694,0.13576888278613672,0.08131612231041344,0.033567582499000694,0.10391422463813654,0.03253804894161337,0.029000854810007592,0.0051027231114252735,0.012309321267172678
USA,0.04102069815261786,0.03815747822110785,0.03952606411802206,0.03024835273861485,0.037742610287200724,0.0390810760615287,0.037752872008322856,0.03722156902469145,0.23534756482476518,0.03638282804837193,0.037917821749484285,0.04156714960233841,0.0,0.03671957245712323,0.03454106050910733,0.04366511422849417,0.03835245497765819,0.034476738236278455,0.03883514564301817,0.034976086460103646,0.03367407863383327,0.026090767239122785,0.026702896778194513
CHE,0.024761145137428987,0.03880809586843306,0.026900152146536533,0.02417672059381265,0.028578942845843145,0.06520020126639592,0.03823626734384908,0.082818127991571,0.005864776277842152,0.02093841858850907,0.125159228797551,0.04373541590566109,0.0051467037096441055,0.0,0.05835760143334087,0.032195632883406426,0.0963478221684118,0.1008407257928455,0.07992714611096174,0.03896348363967804,0.04505152795837773,0.004338927673173377,0.01365293586672689
AUT,0.019050502763424026,0.025885592239755555,0.03156779541433604,0.03524028646501375,0.03743315266923459,0.045778378559053236,0.049037000224565634,0.07466997761467949,0.00603777596771228,0.02919427696213033,0.055758782239682336,0.031428423249151335,0.00531234169099461,0.06403482338170415,0.0,0.025332874967732306,0.041710182808199874,0.06281062822881862,0.04709065842954429,0.09087495147999292,0.1986568706771938,0.005088304407385831,0.018006419559695053
IRL,0.038305429754171186,0.03932419118380339,0.04660644881043365,0.02108505652065608,0.04026111881582049,0.07823225336037078,0.04761963248022569,0.052996042598960846,0.010875980790812855,0.029235582570657587,0.06206042344222488,0.17602257006083424,0.009299305588119545,0.04891942393750232,0.035079231044152025,0.0,0.06623021673061624,0.035225481560714894,0.07563118099800552,0.034647676356438374,0.031144593754839547,0.006515045554135305,0.014683114086504544
FRA,0.03039020451108313,0.04902251778363842,0.027163847182851704,0.020623617725930053,0.027145254542753926,0.08716311403728239,0.03541001507764597,0.06129708946980446,0.0062652791290621615,0.019681993492289572,0.11234905633700705,0.07069379124235915,0.005477035891032107,0.09816637843307793,0.03872970399117528,0.04441121711866012,0.0,0.056174528168503525,0.12960528394432513,0.03095957602417134,0.03245435097132855,0.004321117551423348,0.012495027374594672
ITA,0.029349704084907516,0.046775268303928835,0.028577766662400354,0.04806859369482088,0.030933822158292205,0.050537232712093656,0.03860431099843127,0.06415058322125541,0.0073106846311859625,0.024847272109995544,0.07213613299983493,0.03837705971955898,0.006474788846540119,0.13511508849450946,0.0766976825865892,0.031062789850435174,0.07387312203807458,0.0,0.05662803926045674,0.04607281286120199,0.06652350020265389,0.005775044198746612,0.022108700364086756
BEL,0.017132555227968783,0.022268245851420173,0.02600023890614892,0.013839456884495237,0.026048476826197438,0.21435311464611326,0.03704519527525176,0.08483461637051612,0.0045203248581199024,0.017028658592262484,0.1577542585316901,0.06396414127253038,0.00392675961664674,0.057659667389406234,0.030959490648997615,0.03590825833585785,0.09176554908052562,0.030488879499067142,0.0,0.027638049230945705,0.025026967931052437,0.003183702723201909,0.008653392301584233
POL,0.019070461850062524,0.024001511730979766,0.0487672507011549,0.03211735711314593,0.0657866938988734,0.050319391123881604,0.08783348916605857,0.08568371845220399,0.0070550002813675955,0.04940633765590795,0.051590617847011244,0.034957979282924885,0.006172680976657517,0.049060147101762444,0.10427890841417167,0.028711825983984,0.038260021041889684,0.04329601321083099,0.048239258813642404,0.0,0.10002262643808303,0.006148674815538915,0.019220034099866935
HUN,0.01962296267712935,0.026229034689496278,0.031973263984702675,0.04523195782011322,0.038080516655938014,0.041475807476659764,0.04683941140503333,0.06114474710476645,0.006523002990555234,0.031930231327926495,0.04841665689112119,0.03016422361938892,0.005753404117048474,0.05491704138113283,0.22068987792231984,0.02498595247672394,0.03882841551006446,0.06052082111390149,0.04228905860365309,0.09683331378224239,0.0,0.005724942537801493,0.021825355912280943
KOR,0.03782109195529585,0.039437957769827184,0.05049246060477364,0.04600789423624922,0.051370704338034236,0.04543220137988931,0.049089544309131206,0.04654356182761564,0.0398951518367153,0.055181247381513636,0.044764156342067166,0.04426844588593018,0.03718150189968205,0.04411547277006084,0.04714795165835308,0.04359549528753203,0.043120495338877296,0.0438223791629073,0.044870737666691134,0.04964996941666238,0.04775095393583685,0.0,0.048440624996354445
ISR,0.03540500024920033,0.04195450679648149,0.039779784533284776,0.11403538232874968,0.04341714097837717,0.04310080479638536,0.045142782511699,0.04820850628159367,0.015069955524816193,0.043846217109108514,0.04615541319872996,0.03830924203974456,0.013651351057624361,0.04979798351430843,0.05985415303511524,0.03524678525305197,0.044730324826494444,0.06018399788015827,0.043751633589920916,0.05567609843109543,0.06530545124162528,0.017377484822434928,0.0
